time_s,requested_valve,valve,rpm,total_flow_kg_s,chamber_pressure_pa,pump_power_w,minimum_npsh_m,estopped,alarms
0.0,0.0,0.0,0.0,0.0,21946.758974678694,0.0,39.322974032452976,False,
0.005,0.0,0.0,1142.6952009441313,0.0,42951.2981286792,0.0,39.322974032452976,False,
0.01,0.0,0.0,2238.756390378948,0.0,63295.13872672623,0.0,39.322974032452976,False,
0.015,0.0,0.0,3290.0867276313274,0.0,83217.20525170096,0.0,39.322974032452976,False,
0.02,0.0,0.0,4298.511703062807,0.0,102918.62034141825,0.0,39.322974032452976,False,
0.025,0.0,0.0,5265.782307782222,0.0,122567.03188893337,0.0,39.322974032452976,False,
0.03,0.0,0.0,6193.578074000663,0.0,142300.51451327206,0.0,39.322974032452976,False,
0.035,0.0,0.0,7083.509991307888,0.0,162231.0839708388,0.0,39.322974032452976,False,
0.04,0.0,0.0,7937.1233039339,0.0,182447.85974579924,0.0,39.322974032452976,False,
0.045,0.0,0.0,8755.900193852778,0.0,203019.90800537044,0.0,39.322974032452976,False,
0.05,0.0,0.0,9541.262354387574,0.0,223998.79431014246,0.0,39.322974032452976,False,
0.055,0.0,0.0,10294.573458785007,0.0,245420.87290913254,0.0,39.322974032452976,False,
0.06,0.0,0.0,11017.141528046264,0.0,267309.3371047991,0.0,39.322974032452976,False,
0.065,0.0,0.0,11710.221202125369,0.0,289676.05302686477,0.0,39.322974032452976,False,
0.07,0.0,0.0,12375.015918438681,0.0,312523.1971891178,0.0,39.322974032452976,False,
0.075,0.0,0.0,13012.680001468272,0.0,335844.71640532836,0.0,39.322974032452976,False,
0.08,0.0,0.0,13624.320667087424,0.0,359627.6269951988,0.0,39.322974032452976,False,
0.085,0.0,0.0,14210.999945088528,0.0,383853.16870617744,0.0,39.322974032452976,False,
0.09,0.0,0.0,14773.73652325159,0.0,408497.8274003486,0.0,39.322974032452976,False,
0.095,0.0,0.0,15313.50751615527,0.0,433534.2392967615,0.0,39.322974032452976,False,
0.1,0.0,0.0,15831.25016180181,0.0,458931.98840866867,0.0,39.322974032452976,False,
0.105,0.0,0.0,16327.863449001763,0.0,484658.3077631815,0.0,39.322974032452976,False,
0.11,0.0,0.0,16804.209678344276,0.0,510678.6940295518,0.0,39.322974032452976,False,
0.115,0.0,0.0,17261.115959463303,0.0,536957.4443040547,0.0,39.322974032452976,False,
0.12,0.0,0.0,17699.375647199613,0.0,563458.1229973125,0.0,39.322974032452976,False,
0.125,0.0,0.0,18119.74971915223,0.0,590143.9660374656,0.0,39.322974032452976,False,
0.13,0.0,0.0,18522.96809701122,0.0,616978.2289339993,0.0,39.322974032452976,False,
0.135,0.0,0.0,18909.730913966207,0.0,643924.4846368877,0.0,39.322974032452976,False,
0.14,0.0,0.0,19280.709730391267,0.0,670946.876569085,0.0,39.322974032452976,False,
0.145,0.0,0.0,19636.548699917006,0.0,698010.331702748,0.0,39.322974032452976,False,
0.15,0.0,0.0,19977.865687914677,0.0,725080.738086751,0.0,39.322974032452976,False,
0.155,0.005882352941176476,0.005882352941176476,20305.25334433429,0.00034126476208965227,752125.0804110112,0.5748223484210904,39.32297403696593,False,
0.16,0.011764705882352951,0.011764705882352951,20619.280132759653,0.0010130207609383656,779111.5084754426,1.7595058571405882,39.32297407221926,False,
0.165,0.01764705882352943,0.01764705882352943,20920.4913174671,0.0020045216516553707,806009.3787507412,3.5840980657562156,39.322974188157,False,
0.17,0.023529411764705903,0.023529411764705903,21209.409910201837,0.0033050817314656906,832789.2828895923,6.073859589832727,39.32297445574759,False,
0.17500000000000002,0.02941176470588238,0.02941176470588238,21486.537578315805,0.004904105516384869,859423.0651228405,9.249495670004368,39.32297496441443,False,
0.18,0.03529411764705882,0.03529411764705882,21752.355515843967,0.0067911137635446595,885883.8302205473,13.127407417530321,39.32297581960027,False,
0.185,0.0411764705882353,0.0411764705882353,22007.325279031473,0.00895576624497388,912145.9434746912,17.719956347152532,39.322977140473206,False,
0.19,0.04705882352941178,0.04705882352941178,22251.88958776254,0.01138788155553865,938185.0239649436,23.03573676572589,39.32297905777875,False,
0.195,0.05294117647058825,0.05294117647058825,22486.47309428257,0.014077454216276195,966896.7363233035,30.79043095071576,39.32298171184052,False,
0.2,0.058823529411764726,0.058823529411764726,22711.48312054827,0.0170146693144057,1001211.7359863728,42.181396284910434,39.32298525070942,False,
0.20500000000000002,0.0647058823529412,0.0647058823529412,22927.31036548618,0.020189914902765397,1041048.5521961513,56.109944738213,39.322989828459875,False,
